tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt0000075,The Conjuring of a Woman at the House of Robert Houdin,1896,"Horror,Short",1,6.3,2096.0,,,,"As an elegant maestro of mirage and delusion drapes his beautiful female assistant with a gauzy textile, much to our amazement, the lady vanishes into thin air.",,France,N/A,N/A,N/A,N/A,6.3
tt0000091,The House of the Devil,1896,"Horror,Short",3,6.7,4082.0,,,,"With the help of a magic cauldron, Mephistopheles conjures up a variety of supernatural characters.",,France,N/A,N/A,N/A,Not Rated,6.7
tt0000131,A Terrible Night,1896,"Comedy,Horror,Short",1,5.7,1560.0,,,,"A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",,France,N/A,N/A,N/A,Not Rated,5.8
tt0000138,The Bewitched Inn,1897,"Comedy,Horror,Short",2,6.4,1253.0,,,,"At a solitary cheap inn, a distant traveller overcome with fatigue has a close encounter with the supernatural.",,France,N/A,N/A,N/A,Not Rated,6.4
tt0000152,The Hallucinated Alchemist,1897,"Fantasy,Horror,Short",2,6.2,298.0,,,,"Misidentified as The Mysterious Retort (1906), sadly, this film is currently presumed lost; however, according to Wikipedia, an anthropomorphous star with five female heads and a giant face has people coming out of its mouth.",,France,N/A,N/A,N/A,N/A,6.2
tt0000153,The Haunted Castle,1897,"Horror,Short",1,5.7,529.0,,,,A King (played by Georges Méliès) shows up at his new castle where he is haunted.,,United Kingdom,N/A,N/A,N/A,N/A,5.7
tt0000159,The Devil's Laboratory,1897,"Horror,Short",1,5.1,153.0,,,,"""The picture shows the Devil working at a fire. Two cavaliers appear, and the Devil takes the form of a seer, old, bent and wrinkled. Then he disappears in a cloud of smoke, to reappear shortly as a ghost, whose head comes off and...",,France,N/A,N/A,N/A,N/A,5.3
tt0000172,The X-Ray Fiend,1897,"Comedy,Horror,Short",1,6.1,1085.0,,,,"A man and woman are flirting when a professor turns on an X-ray machine, revealing their insides. After turning it off again the two have a dispute and break up.",,United Kingdom,N/A,N/A,N/A,TV-PG,6.1
tt0000178,The Cavalier's Dream,1898,"Horror,Short",1,5.2,246.0,,,,"""He sits asleep at a bare table; old witch enters, raps three times, then disappears; cavalier sees table spread for a sumptuous repast. Mephistopheles appears; then the old witch, who suddenly changes to a beautiful young girl. T...",,United States,N/A,N/A,N/A,N/A,5.2
tt0000179,The Cave of the Demons,1898,"Horror,Short",\N,4.7,46.0,,,,A young woman stumbles across a cave that is populated by the spirits and skeletons of people who died there under mysterious circumstances.,,France,N/A,N/A,N/A,N/A,4.3
tt0000209,Photographing a Ghost,1898,"Horror,Short",\N,4.9,33.0,,,,"Photographer tries to take a picture of a ghost, but it won't keep still and then vanishes.",,United Kingdom,N/A,N/A,N/A,N/A,5.1
tt0000211,"The Astronomer's Dream; or, The Man in the Moon",1898,"Comedy,Fantasy,Horror",3,7.4,4868.0,,,,An astronomer falls asleep and has a strange dream involving a fairy queen and the Moon.,,France,N/A,N/A,N/A,Not Rated,7.4
tt0000234,Cleopatra's Tomb,1899,"Horror,Short",1,6.2,80.0,,,,"A man digging inside an Egyptian tomb chops up a mummy, then resurrects the woman inside it.",,France,N/A,N/A,N/A,N/A,6.0
tt0000235,Haggard's She: The Pillar of Fire,1899,"Adventure,Fantasy,Horror",1,6.3,1032.0,,,,A devil conjures up a dancing woman from a mystical flame.,,France,N/A,N/A,N/A,Not Rated,6.3
tt0000242,The Sign of the Cross,1899,"Fantasy,Horror,Short",3,6.4,1386.0,,,,Satan appears in a convent and takes the guise of a priest. Before long he is causing all manner of perturbation and despair.,,France,N/A,N/A,N/A,Not Rated,6.4
tt0000245,The Haunted House,1899,"Comedy,Fantasy,Horror",\N,6.2,53.0,,,,"Silas Hayseed arrives in town and proceeds to put up a hotel noted for its 'tables,' which are all made of hard wood. The country yokel is shown to his room and divests himself of his best Sunday-go-to-meetin' clothes. His little ...",,United States,N/A,N/A,N/A,N/A,6.2
tt0000253,The Miser's Doom,1899,"Horror,Short",\N,4.3,29.0,,,,A miser dies of shock when the ghost of a poor woman appears.,,United Kingdom,N/A,N/A,N/A,N/A,4.8
tt0000261,A Midnight Episode,1899,"Comedy,Horror,Short",1,5.4,88.0,,,,A sleeping apartment of a friend who retires for the night. The rays of the moon are shining upon the bed through the window. He is suddenly awakened by a bug of gigantic proportions crawling over him. This he attacks and destroys...,,France,N/A,N/A,N/A,N/A,5.7
tt0000264,Summoning the Spirits,1899,"Fantasy,Horror,Short",1,5.7,498.0,,,,A magician presents a wreath which in turn transforms into other things.,,France,N/A,N/A,N/A,N/A,5.7
tt0000285,Chinese Magic,1900,"Horror,Short",\N,5.2,30.0,,,,A Chinese magician turns himself into a huge bat.,,United Kingdom,N/A,N/A,N/A,N/A,5.0
tt0000301,Faust and Marguerite,1900,"Fantasy,Horror,Short",1,4.4,466.0,,,,"Marguerite is seated before the fireplace, Faust standing by her side. Mephistopheles enters and offers his sword to Faust, commanding him to behead the fair Marguerite. Faust refuses, whereupon Mephistopheles draws the sword acro...",,United States,N/A,N/A,N/A,Not Rated,4.4
tt0000319,Maple Leaf Viewing,1899,"Horror,Short",6,5.7,287.0,,,,Historical nobleman Taira no Koremori fights a demon who has disguised itself as Princess Sarashina.,,Japan,N/A,N/A,N/A,N/A,5.8
tt0000357,The Haunted Curiosity Shop,1901,"Comedy,Fantasy,Horror",2,5.8,516.0,,,,"An old proprietor is startled by the sudden appearance of a skull. Just as he draws back from the uncanny object, the doors of a mediaeval wardrobe fly back and a hand prods him with a sword. He turns to confront his assailant whe...",,United Kingdom,N/A,N/A,N/A,N/A,5.8
tt0000370,Scrooge; or Marley's Ghost,1901,"Drama,Fantasy,Horror",6,5.6,614.0,,,,"It's Christmas Eve. The miser Scrooge and his assistant Bob Cratchit finish their work in the office and go home. When Scrooge is going to open his front door, he sees the face of Marley's ghost in the door knocker. Inside he take...",,United Kingdom,N/A,N/A,N/A,N/A,5.6
tt0000373,The Devil's Seven Castles,1902,"Drama,Horror,Short",11,6.3,127.0,,,,"Dissatisfied with his life, a desperate man decides to make an unholy pact with the Devil, ignoring the seven deadly sins.",,France,N/A,N/A,N/A,N/A,6.3
tt0000406,The Prince of Darkness,1900,"Horror,Short",\N,5.7,48.0,,,,"In this picture some very remarkable effects are obtained by the reversal of the motion of the negative. A man comes home, somewhat under the influence of liquor, and starts to remove his outer clothes. As fast as he removes each ...",,United States,N/A,N/A,N/A,N/A,6.2
tt0000412,The Troublesome Fly,1900,"Comedy,Horror,Short",\N,4.5,30.0,,,,,,United States,N/A,N/A,N/A,N/A,4.1
tt0000413,The Devil's Money Bags,1902,"Comedy,Fantasy,Horror",3,5.5,517.0,,,,"The setting of this fantastic scene represents the hall of an old chateau in which a miser has locked up seven large bags containing his wealth. Satan, who has made his way into the chateau, puts the seven bags in a strong box, an...",,France,N/A,N/A,N/A,Not Rated,5.5
tt0000437,Faust et Méphistophélès,1903,"Drama,Horror,Short",2,5.1,308.0,,,,A re-telling of the classic tale of Faust in all of two minutes by French filmmaker Alice Guy (later known as Alice Guy-Blaché).,,France,N/A,N/A,N/A,Not Rated,5.1
tt0000567,The 400 Tricks of the Devil,1906,"Fantasy,Horror,Short",17,6.8,1426.0,,,,Two travelers are tormented by Satan from inn to inn and eventually experience a buggy ride through the heavens courtesy of the Devil.,,France,N/A,N/A,N/A,Not Rated,6.8
tt0000614,The Red Spectre,1907,"Fantasy,Horror,Short",9,6.5,1243.0,,,,"A demonic magician attempts to perform his act in a strange grotto, but is confronted by a Good Spirit who opposes him.",,France,N/A,N/A,N/A,Not Rated,6.5
tt0001218,A Fallen Spirit,1910,"Animation,Fantasy,Horror",6,5.2,138.0,,,,"A musketeer arrives at an inn and announces to the staff that he possesses a magic sword. Greatly excited by this news, they beg him for a performance, and so, taking his sword and spreading his arms in the air, a tablecloth appea...",,"Spain, France",N/A,N/A,N/A,N/A,5.2
tt0001223,Frankenstein,1910,"Fantasy,Horror,Sci-Fi",16,6.4,4822.0,,,,"The first filmed version of Frankenstein. The young doctor discovers the secret of life, which he uses to create a perfect human. Things do not go according to plan.",,United States,N/A,N/A,N/A,Unrated,6.4
tt0001590,Dæmonen,1911,"Adventure,Horror,Short",5,5.4,10.0,,,,"This adventure, horror and dance movie called ""The Devil"" is the fourth oldest known Norwegian movie, and is believed to be lost.",,Norway,N/A,N/A,N/A,N/A,N/A
tt0002113,The Conquest of the Pole,1912,"Adventure,Horror,Sci-Fi",33,6.8,1240.0,,,,"Aboard the futuristic flying machine of his own invention, Professor Mabouloff and his team of intercultural explorers set off on yet another impossible expedition to North Pole's vast landscapes. What wonders await the bold adven...",,France,N/A,N/A,N/A,Not Rated,6.9
tt0002114,Conscience,1912,"Horror,Short",10,4.7,20.0,,,,"Against her brother's better judgment, Eleanor is convinced by her lover, Eric to elope with him to New York. Some time later Eric abandons her and, falling on hard times, Eleanor is forced to take shelter in a chamber of horrors....",,United States,N/A,N/A,N/A,N/A,3.9
tt0002143,Dr. Jekyll and Mr. Hyde,1912,"Drama,Horror,Sci-Fi",12,6.0,792.0,,,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,United States,N/A,N/A,N/A,Not Rated,6.0
tt0002181,The Man with Wax Faces,1914,"Horror,Short",11,6.1,254.0,,,,"On a dare, a man vows to spend the night in a wax museum filled with ghoulish scenes of true crimes. At first, he scoffs, but soon the scenes that are depicted begin to affect his mind.",,France,N/A,N/A,N/A,N/A,6.1
tt0002349,The Mask of Horror,1912,"Horror,Short",\N,5.4,25.0,,,,"A mad sculptor, searching for the perfect realization of ""the mask of horror"", places himself in front of a mirror after smearing blood over himself with the glass of an oil lamp. He then swallows a virulent poison to observe the ...",,France,N/A,N/A,N/A,N/A,5.1
tt0002477,Specter of the Sea,1912,"Drama,Horror,Short",40,6.2,15.0,,,,"In the form of a shadow, Death emerges from the sea and convinces an unhappy woman to commit suicide by returning to the sea with him.",,Germany,N/A,N/A,N/A,N/A,6.3
tt0002515,Dr. Goudron's System,1913,"Horror,Short",15,5.5,22.0,,,,"Adapted from a one-act Grand Guignol play based on Edgar Allan Poe's short story 'The System of Dr. Tarr and Professor Fether', the film portrays a visitor to an insane asylum where it becomes clear that the inmates have taken con...",,France,N/A,N/A,N/A,N/A,4.9
tt0002656,Balaoo the Demon Baboon,1913,"Horror,Short",24,5.4,50.0,,,,"An ape, turned near human by Dr. Coriolis and given the name 'Balaoo', is smitten by the beauty of Coriolis' niece, Madeleine. Being inquisitive, though, he runs off, getting into mischief, and falls in with a poacher who saves hi...",,France,N/A,N/A,N/A,N/A,5.5
tt0002677,The Bells,1913,"Horror,Short",30,6.0,15.0,,,,A murderer is haunted by the spirit of his victim.,,United States,N/A,N/A,N/A,N/A,N/A
tt0002813,Dr. Jekyll and Mr. Hyde,1913,"Drama,Horror,Sci-Fi",26,5.1,425.0,,,,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,United States,N/A,N/A,N/A,N/A,5.1
tt0003419,The Student of Prague,1913,"Drama,Fantasy,Horror",85,6.4,2465.0,,,,"Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a hideous, shriveled-up old man taps him upon t...",,Germany,N/A,N/A,N/A,Approved,6.4
tt0003424,Suspense,1913,"Drama,Horror,Short",10,7.4,2249.0,,,1 win,"Abandoned by her maidservant in an isolated country house, a mother must protect herself and her baby from an invading tramp while her husband races home in a stolen car to save them.",,United States,N/A,N/A,N/A,Not Rated,7.4
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime,Drama,Horror",78,6.4,1462.0,,,,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",,United States,N/A,N/A,N/A,Not Rated,6.4
tt0003660,The Basilisk,1914,"Horror,Short",28,4.6,9.0,,,,"A mesmerist, obsessed with putting a beautiful woman under his power, hypnotizes her to try to force her to kill her fiance. His plans are altered with the appearance of a deadly serpent.",,United Kingdom,N/A,N/A,N/A,N/A,3.6
tt0003869,The Dream Woman,1914,"Drama,Horror,Short",7,4.9,29.0,,,,"In this story the hero is haunted by a beautiful young woman who tries to stab him to death with a knife. This fantasy recurs on each of his birthdays, becoming more and more real as the years go on. He leaves home to secure a pla...",,United States,N/A,N/A,N/A,N/A,5.2
tt0004013,The Ghost Breaker,1914,"Adventure,Horror",60,5.0,47.0,,,,"The treasure of the Aragon family has never been found or any trace of it, until one day, while Princess Maria Theresa is looking over her jewels, she drops the casket and a secret compartment flies open, disclosing an old parchme...",,United States,N/A,N/A,N/A,N/A,5.2
