tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt5097510,Puppet Master #1-3: The Offering,2015,"Comedy,Drama,Horror",5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,UNRATED,N/A
tt5097518,Zombie Zone,2015,Horror,\N,0.0,0.0,,,,,,USA,N/A,N/A,N/A,N/A,N/A
tt5097676,The Skinner Project,\N,"Horror,Short",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt5097772,She,2015,"Horror,Short,Thriller",9,8.2,26.0,,,,Two high school friends on their way to a party pull over to help a disturbed girl wandering along the road and their attempt at a good deed quickly becomes a living nightmare.,,United States,N/A,N/A,N/A,N/A,8.5
tt5097822,Cargo 425. Part 2,2015,"Action,Horror,Short",4,4.5,25.0,,,,,,Russia,N/A,N/A,N/A,N/A,N/A
tt5097858,Six and Destroy,2015,"Comedy,Horror,Short",2,8.3,8.0,,,,,,Italy,N/A,N/A,N/A,N/A,N/A
tt5097998,Disposition,2018,"Horror,Romance,Short",\N,8.7,58.0,,,1 nomination,A woman stalked by depression makes some extreme decisions.,,United States,N/A,N/A,N/A,N/A,8.7
tt5098340,Amigo Imaginário - Especial Dia das Crianças,2015,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt5098422,Charlie,2015,"Horror,Short",7,0.0,0.0,,,,,,USA,N/A,N/A,N/A,N/A,N/A
tt5098896,Serial Killer,2015,"Horror,Short",\N,0.0,0.0,,,,,,United States,N/A,N/A,N/A,N/A,N/A
tt5099032,Acid Daemons,\N,Horror,\N,0.0,0.0,,,,,,UK,N/A,N/A,N/A,N/A,N/A
tt5099568,Adrenaline no yoru,2015,"Horror,Thriller",14,5.5,22.0,,,,"Based on the eponymous collection of short stories by author Akimoto Yasushi, this new drama features the idols of the female group AKB48 this time on the theme of horror.",,Japan,N/A,N/A,N/A,N/A,N/A
