tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt9826914,Rebirth,2019,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9826936,Leap of Faith,2019,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9826944,The Final Goodbye,2019,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9826952,Aliens: Roguelike,2007,"Horror,Sci-Fi",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9827238,Meth Crabs,2016,"Horror,Short",\N,0.0,0.0,,,,,,United States,N/A,N/A,N/A,N/A,N/A
tt9827526,The Springfield Three,2019,"Horror,Short",30,4.3,40.0,,,8 wins & 8 nominations,"Based on the 1992 disappearance, three women driving out of town to start a new life and escape their old one, horrifically encounter their inevitable fates.",,United States,N/A,N/A,N/A,N/A,4.5
tt9827752,Episode #1.8,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9827776,The Haunting of Anaya,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt9827876,The Creepypasta Episodes,2012,Horror,\N,7.0,10.0,,,,A horror anthology series that adapts Creepypastas into short films.,,United States,N/A,N/A,N/A,N/A,6.2
tt9828164,Horror Talk with Kristin West: Scream Princess Sanae Loutsis,2019,Horror,\N,0.0,0.0,,,,"The young ladies of horror are our future which is why we are chatting up teen scream queen Sanae Loutsis for Women in Horror month. Kristin West hosts this chat with this caring, ...",,N/A,N/A,N/A,N/A,N/A,N/A
tt9828254,Ghost Master,2019,Horror,88,5.4,105.0,"$6,136","$6,136",1 win,A discriminated assistant director decides to remake a bran-new love movie. But the contingently-rewritten script awakens real ghost which possesses the actor and and causes death of field personnel.,,Japan,N/A,N/A,N/A,N/A,5.4
tt9828758,The Creepypasta,2012,Horror,\N,0.0,0.0,,,,A horror anthology series that adapts internet horror stories known as Creepypastas into short films.,,USA,N/A,N/A,N/A,N/A,N/A
tt9828762,Scary Monsters Magazine Presents,2016,"Horror,Sci-Fi,Talk-Show",2,0.0,0.0,,,,"Dr. Gangrene presents a sneak peek at upcoming issues of Scary Monsters Magazine, Scary, and Monster Memories.",,USA,N/A,N/A,N/A,N/A,N/A
tt9828814,MatiAnak,2019,Horror,85,6.1,135.0,,,,"Since a new kid arrives at an orphanage, weird things started to happen.",,Indonesia,N/A,N/A,N/A,Not Rated,6.1
tt9828982,Scary Monsters Magazine #103,2016,"Horror,Sci-Fi,Talk-Show",\N,0.0,0.0,,,,Dr. Gangrene presents a sneak peek at upcoming issue of Scary Monsters Magazine #103.,,N/A,N/A,N/A,N/A,N/A,N/A
tt9829002,Monster Memories 24 & 25,2017,"Horror,Sci-Fi,Talk-Show",2,0.0,0.0,,,,Dr. Gangrene presents a sneak peek at upcoming double issue of Scary Monsters Magazine presents Monster Memories issue 24 and 25.,,N/A,N/A,N/A,N/A,N/A,N/A
