tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt7286096,Eternal Night,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt7286250,Restricted Area: Baron Palace,2016,"Horror,Mystery,Thriller",85,5.1,18.0,,,,"Film team decides to make a documentary about the famous Baron Palace, but after several attempts eventually led to catastrophic failure to extraction the necessary permits to shooting inside the palace, the team members decide to...",,Egypt,N/A,N/A,N/A,N/A,6.2
tt7286280,Outback,2017,"Adventure,Drama,Horror",52,8.0,242.0,,,,"Waking up in the middle of nowhere, the group begin to realize their holiday has become a desperate bid for survival.",,N/A,N/A,N/A,N/A,TV-MA,8.1
tt7286282,Chase,2017,"Adventure,Drama,Horror",44,7.5,207.0,,,,"Dealing with a traumatic turn of events and realizing they're being targeted by Mick, the group makes it way towards a ridge in search of water and civilization.",,Australia,N/A,N/A,N/A,TV-MA,N/A
tt7286284,Singing,2017,"Adventure,Drama,Horror",43,7.4,203.0,,,,"Still reeling after a tragic death, the group's desperation reaches new heights when Nina is bitten by a snake. Meanwhile, while she searches for Steve, Kelly is finally able to confront Mick.",,Australia,N/A,N/A,N/A,TV-MA,N/A
tt7286394,Devil of a Deal / Awoken,2017,"Documentary,Horror",\N,0.0,0.0,,,,"After moving into her new home and doing a spiritual cleanse, a woman is attacked in bed by an Indian entity; a teen receives phone calls from a disconnected number and his sister encounters a demon while housesitting.",,N/A,N/A,N/A,N/A,N/A,N/A
tt7286406,Plantation,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt7286434,Incident #32-250,2013,"Horror,Short",8,0.0,0.0,,,,"The house rumbles and shakes - the night bursts to life and the sky is lit with fire. What would you do? INCIDENT#32-250 is the story of a farmer and his wife, and what transpires when an ...",,Canada,N/A,N/A,N/A,N/A,N/A
tt7286450,Sabit: Trespassers,2017,"Comedy,Horror,Short",10,0.0,0.0,,,,A neat-freak homeowner and her housekeeper deal with some very unexpected guests.,,Philippines,N/A,N/A,N/A,N/A,N/A
tt7286470,Finale,2017,"Adventure,Comedy,Horror",2,0.0,0.0,,,,"Showrunner, Tom Upjohn, pitches his idea for the last episode of Payback Time. Xander and Abram, are less than pleased.",,USA,N/A,N/A,N/A,N/A,N/A
