tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt19721348,Dead Silence,2017,Horror,6,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19721362,Woman in the Dark,2017,Horror,5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19721378,Lights Out,2017,Horror,6,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19721388,The Revelation,2017,Horror,5,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19721410,The Other,2017,Horror,6,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19721488,Anj,2017,Horror,7,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19722608,Doll House for Rent,2019,"Horror,Short",21,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19722700,Last Ride,2023,"Drama,Horror,Romance",17,0.0,0.0,,,4 wins,"'Last Ride' follows Yuuto, a RideShare driver in LA during the final ride of his graveyard shift. Yuuto picks up two young women, Gabrielle and Harmony, who just survived a mysterious attack and have unknowingly brought the horror...",,United States,N/A,N/A,N/A,N/A,N/A
tt19722724,La Cura,2012,"Horror,Short",7,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19722840,The Last Nosferatu,2023,Horror,\N,4.7,31.0,,,2 wins & 1 nomination,,,United States,N/A,N/A,N/A,N/A,N/A
tt19723140,Yakaza: Zehirli Kabile,2022,Horror,\N,6.9,77.0,,,,,,Turkey,N/A,N/A,N/A,N/A,N/A
tt19723162,Sadako vs. Dixian,2016,"Horror,Thriller",65,0.0,0.0,,,,"""Sadako vs. Dixian"" focuses on suspenseful thrills that combine the Chinese and Japanese ghosts together.",,China,N/A,N/A,N/A,N/A,N/A
tt1972332,The Masque of the Red Death: Part One,1995,"Drama,Horror,Mystery",\N,0.0,0.0,,,,"Outside, the terrible disease called the Red Death is ravaging the countryside; but inside the Prince Prospero prepares an elaborate masquerade party.",,N/A,N/A,N/A,N/A,N/A,N/A
tt19723602,Hikiko-san vs. Sadako,2015,Horror,91,3.6,9.0,,,,"Two high school girls are daily and cruelly harassed by Risa and the other students in their class. One of them is going to invoke Hikiko san - a woman who died as a result of bullying, who now haunts the rivers and peri-urban are...",,Japan,N/A,N/A,N/A,N/A,N/A
tt19724116,Bunshinsaba vs Kayako,2017,"Crime,Horror,Romance",84,4.0,13.0,,,,"This film tells the story of a developer, who wants to demolish the old house of Qianqian's grandmother to build a villa. In order to prevent the developer, Qianqian together with a few classmates to play Bi Xian and summon Bunshi...",,China,N/A,N/A,N/A,N/A,N/A
tt19724142,Hellhole,2022,"Horror,Mystery",91,5.8,8227.0,,,,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",,Poland,N/A,N/A,N/A,TV-MA,5.8
tt1972422,The Story of Dope,2011,"Drama,Horror,Mystery",\N,0.0,0.0,,,,"Thought lost for almost 40 years, the legendary 1972 Pot Growers of America Convention Reel finally surfaces.",,N/A,N/A,N/A,N/A,N/A,N/A
tt19724416,The Rescue Mission,2022,"Adventure,Horror,Mystery",10,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt19725054,Hunted,2022,"Horror,Short,Thriller",\N,0.0,0.0,,,,A girl believes she is being hunted,,N/A,N/A,N/A,N/A,N/A,N/A
tt19725598,Loke Bole,2022,"Horror,Mystery",24,8.2,223.0,,,,"In the middle of their travels, an adventurous couple discovers a village where every Bangla superstition has a disturbing origin. One particular tale, the story of why one shouldn't go out with long hair past sunset...may come to...",,N/A,N/A,N/A,N/A,N/A,8.3
tt1972593,As They Fall,2008,Horror,90,0.0,0.0,,,,,,United States,N/A,N/A,N/A,N/A,N/A
tt19726080,The Third,2022,"Comedy,Horror,Short",8,6.2,8.0,,,,"As the LA Pride parade rages, a middle-aged gay couple invites another man over to their home to spice up their personal lives. But it soon becomes clear not everything is as it seems...",,United States,N/A,N/A,N/A,N/A,N/A
