tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt15052352,Imagery,2020,"Horror,Short",9,0.0,0.0,,,,,,Turkey,N/A,N/A,N/A,N/A,N/A
tt15052424,Jumpin' Jacob,2021,"Horror,Mystery,Short",10,0.0,0.0,,,,,,United States,N/A,N/A,N/A,N/A,N/A
tt15052442,Funeral,2021,"Horror,Short",\N,0.0,0.0,,,,,,Turkey,N/A,N/A,N/A,N/A,N/A
tt15052554,The Chosen One,2023,"Horror,Short",\N,0.0,0.0,,,,,,United States,N/A,N/A,N/A,N/A,N/A
tt15052620,Human Hibachi 2,2022,Horror,83,6.4,72.0,,,1 win,"Set in the deep woods, a cannibal family obsessed with the first ""Human Hibachi"" video have made it their life's mission to find the only two individuals left from it. If successful, they vow to provide them with the most elaborat...",,United States,N/A,N/A,N/A,N/A,6.5
tt15052636,The Delicious Blood That You Keep in Your Veins,2021,"Horror,Short",15,0.0,0.0,,,,Olivia and Rose spend the night taking a strange new drug. The next morning Olivia wakes up to find Rose dead in the bath tub and herself with a surprising new addiction. Haunted by Rose's body and with a craving for the blood dri...,,United States,N/A,N/A,N/A,Not Rated,N/A
tt15052754,10 Underrated Horror Movies You Need to Watch,2021,"Horror,Talk-Show",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt15052846,O Vampiro,2008,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt15052928,"Bye, Son",\N,"Comedy,Horror",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt15053138,No Through Road,2009,"Horror,Mystery,Sci-Fi",20,7.1,50.0,,,,"The lone survivor of a supernatural event returns to the road where it unfolded, upon which similar events begin to unfold.",,United Kingdom,N/A,N/A,N/A,N/A,N/A
tt15053170,Tiffany Paulsen Interview,2021,"Biography,Horror,Talk-Show",\N,0.0,0.0,,,,"Scotty is back with yet another edition of Slasher Scotty and his guest is Tiffany Paulsen, who played Suzi Donaldson in Friday the 13th Part 8: Jason Takes Manhattan. Tiffany discusses with Scotty her true terror when the spear was ",,N/A,N/A,N/A,N/A,N/A,N/A
tt15053208,No Through Road 2,2011,"Horror,Mystery,Sci-Fi",10,5.6,5.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt15053224,No Through Road 3,2012,"Horror,Mystery,Sci-Fi",3,5.7,7.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt15053250,No Through Road 4,2012,"Horror,Mystery,Sci-Fi",7,6.0,5.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt1505331,Brimstone,2008,Horror,84,7.1,43.0,,,,"Tandra is trying to cope with the mysterious deaths of her friends. When she sets out in the woods to find the answers,It is there that she must contend with the evil within the darkness of Brimstone.",,United States,N/A,N/A,N/A,Not Rated,6.9
tt15053378,Lucas County,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt1505338,Evil on Queen Street: Domination,2009,Horror,75,2.9,10.0,,,,"All is finally quiet around Queen Street, Nick has a new love interest in former bounty hunter Electra Murphy, Damien has been placed on a top secret assignment out of town, and Anderson is...",,USA,N/A,N/A,N/A,N/A,N/A
tt1505342,Il cadavere di vetro,2009,"Horror,Thriller",58,7.9,22.0,,,,"An old man decided to die eating himself. Only a young male nurse assists him. The nurse would like to write a book on this experience and, during the time with the old man, he will discover an unknown side of his own personality....",,Italy,N/A,N/A,N/A,N/A,N/A
