tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt0433454,Skinwalker: Curse of the Shaman,2005,Horror,75,2.8,189.0,,,,"When a small town curse apparently comes true, a college student studying mythology goes to uncover the secrets held within.",,USA,N/A,N/A,N/A,R,3.3
tt0433482,Wild Country,2005,Horror,67,4.4,675.0,,,,"In Glasgow, the teenager single mother Kelly Ann is forced by Father Steven ""Steve"" Gillis to deliver her baby boy for adoption. Six weeks later, Father Steve organizes a hike in the countryside with the youths David, Louise, Mark...",,United Kingdom,N/A,N/A,N/A,R,4.4
tt0433533,Caleuche: El llamado del Mar,2012,"Drama,Fantasy,Horror",100,4.8,267.0,,,,"A young woman who suffers a strange disease must travel to a mysterious island in South America, where the myths and the reality do not have differences.",,Chile,N/A,N/A,N/A,Not Rated,4.9
tt0433589,"Lights, Camera... Kill!",2004,Horror,82,6.2,28.0,,,,"Hawk and Kyle will learn a dangerous lesson that they won't forget for the rest of their lives, which unfortunately won't be very much longer. They have been stealing from cars for months. ...",,USA,N/A,N/A,N/A,N/A,7.4
tt0433602,Le musicien,2004,"Animation,Fantasy,Horror",12,7.1,24.0,,,,,,France,N/A,N/A,N/A,N/A,7.1
tt0433618,Pierrot,2003,"Fantasy,Horror,Short",7,0.0,0.0,,,,"A teenager-boy crosses the dreams' limit. There he will find three strange characters: an old-woman, a Pierrot in chinese-shadows, and a mime. They will drive him to a tragic ending.",,Spain,N/A,N/A,N/A,N/A,N/A
tt0433625,Renzoku satsujinki: Reiketsu,1984,"Crime,Drama,Horror",118,5.6,10.0,,,1 win,Based on the life of Japanese serial killer and thief Kiyotaka Katsuta.,,Japan,N/A,N/A,N/A,N/A,N/A
tt0433656,Twisted,2003,"Comedy,Horror",93,6.5,13.0,,,,"Jamie and Jody are identical twin brothers. They not only share the same appearance, they also share Candy (Jody's high-school sweet-heart). Another thing the twins share is a passion for ...",,"UK, USA",N/A,N/A,N/A,NOT RATED,4.6
tt0433722,Paranoia Agent,2004,"Animation,Drama,Horror",25,8.0,14697.0,,,,"Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, the victims' lives have improved in some way.",,Japan,N/A,N/A,4.4,TV-MA,8.0
tt0433787,L'apocalisse delle scimmie,2004,"Drama,Horror",\N,6.8,17.0,,,,,,Italy,N/A,N/A,N/A,N/A,5.7
tt0433788,Arima neko,1937,Horror,\N,0.0,0.0,,,,,,Japan,N/A,N/A,N/A,N/A,N/A
tt0433817,The Absent,2005,"Horror,Thriller",91,5.0,577.0,,,1 win & 1 nomination,"Julia and Samuel move with the children to a neighborhood on the outskirts of the city. Looks like a great place, but contains something else. Julia discovers that the urbanization is empty.",,Spain,N/A,N/A,N/A,N/A,4.9
tt0433917,Cannibal Cult,1999,"Action,Comedy,Horror",34,5.2,35.0,,,,,,USA,N/A,N/A,N/A,N/A,4.8
tt0433963,Dark Ride,2006,"Horror,Thriller",94,4.6,6813.0,"$321,875","$321,875",,"A group of six friends on a road trip stop off at an amusement park attraction named 'Dark Ride', unaware that a psychopath who brutally murdered two girls, has just escaped a mental institution and is seeking refuge there.",,United States,N/A,N/A,N/A,R,4.6
tt0433969,Dead Doll,2004,"Comedy,Horror",91,3.9,303.0,,,,"A frustrated sculptor strangles his girlfriend and crafts her body into a life-like doll. From beyond the grave her spirit plays upon the fantasies of others, seducing everyone that crosses her path, and luring them to their deaths.",,United States,N/A,N/A,N/A,R,3.9
tt0433979,Detained,2004,"Horror,Short",10,6.7,71.0,,,1 win,"Thomas Doyle thought detention would be easy. He was very wrong. 'Detained' is a short tale of one kid's escape from a zombie-infested school, his journey made even more difficult by his desire to rescue his wounded friend. Even i...",,Ireland,N/A,N/A,N/A,N/A,6.7
tt0434117,Kaibyô nazo no shamisen,1938,Horror,74,6.6,118.0,,,,"In this pre-war classic, a jealous stage actress named Mitsue murders a cat belonging to a young woman who is in love with the same man as Mitsue. The spirit of the cat returns as a vengeful ghost.",,Japan,N/A,N/A,N/A,N/A,6.4
tt0434125,Sexual Parasite: Killer Pussy,2004,"Comedy,Horror",60,4.2,736.0,,,,Five teenagers enter a deserted jungle and trespass inside an abandoned house only to haunted by a woman with a monster hidden inside her reproductive organs.,,Japan,N/A,N/A,N/A,N/A,4.2
tt0434131,Concrete,2004,"Crime,Drama,Horror",113,4.4,547.0,,,,"A high-school girl is kidnapped by gang lords and held captive for several months. Over this time, she repeatedly beaten, raped, and tortured.",,Japan,N/A,N/A,N/A,N/A,4.4
tt0434159,Lord of the Dead,2000,"Comedy,Horror",85,7.8,51.0,,,,Who knew the Lord of the Dead had a son who wanted no part of the family business?,,USA,N/A,N/A,N/A,R,8.1
tt0434179,Marebito,2004,"Drama,Fantasy,Horror",92,6.0,5767.0,"$13,983","$13,983",1 win & 1 nomination,A fear-obsessed freelance cameraman (Shinya Tsukamoto) investigates an urban legend involving mysterious spirits that haunt the subways of Tokyo.,,Japan,50,N/A,N/A,R,6.0
tt0434236,Noche de chicas,2004,Horror,43,0.0,0.0,,,,,,Argentina,N/A,N/A,N/A,N/A,N/A
tt0434274,Pequeña historia de horror,1985,"Horror,Short",\N,0.0,0.0,,,,,,Mexico,N/A,N/A,N/A,N/A,N/A
tt0434278,Pet Squash,2004,"Comedy,Horror,Short",14,7.0,9.0,,,,"When SARAH comes home for the first time in years, she finds herself in a thrilling struggle for survival with an envious Evil Pet Squash.",,United States,N/A,N/A,N/A,N/A,7.0
tt0434324,Delirium,1965,Horror,120,6.1,17.0,,,,,,Iran,N/A,N/A,N/A,N/A,N/A
tt0434412,Het verborgen gezicht,2004,"Horror,Short,Thriller",15,7.5,38.0,,,3 wins,"Eight-year-old Lisa feels something is wrong with her grandma. Is grandma still grandma, or is she someone else? Eerie thriller shows the puzzling world through a child's eyes.",,Netherlands,N/A,N/A,N/A,N/A,7.5
tt0434762,Ab-normal Beauty,2004,"Drama,Horror",101,5.8,2613.0,,,6 nominations,"Jiney is a talented student of Arts with a trauma in her childhood and lack of communication with her mother, and excellent photographer that is not satisfied with her awarded works. When she witnesses a car crash, she is driven b...",,Hong Kong,N/A,N/A,N/A,R,5.8
tt0434858,Cold Blonded Murders,2003,"Horror,Short",\N,6.3,29.0,,,,,,Canada,N/A,N/A,N/A,N/A,6.1
tt0434886,Demon of Temptation,2004,"Fantasy,Horror,Short",30,0.0,0.0,,,,,,USA,N/A,N/A,N/A,N/A,N/A
tt0434915,Ek Paheli,1971,"Drama,Horror,Mystery",131,6.6,97.0,,,,"Sudhir goes to take care of his family business in Goa. He is attracted to Maria, a mysterious woman who meets him in an old graveyard.",,India,N/A,N/A,N/A,Not Rated,6.7
tt0434925,Exorcists: The True Story,2004,"Documentary,Horror",50,7.2,38.0,,,2 wins,This documentary explores the 1949 possession and subsequent exorcism of a boy known as Ronald Doe.,,Canada,N/A,N/A,N/A,N/A,7.1
tt0434951,Forever My Love,2004,"Drama,Horror,Romance",89,6.5,21.0,,,,A haunting film about ghosts and undying love. Philippines Tagalog movie.,,Philippines,N/A,N/A,N/A,N/A,6.6
tt0434992,Hansel et Gretel,2004,"Horror,Short",10,6.4,11.0,,,,,,Canada,N/A,N/A,N/A,N/A,5.4
tt0435142,Little Devils,2004,"Comedy,Horror",84,6.0,12.0,,,,"Some people see things that other people don't notice. Sometimes they wish they didn't. Sometimes, what they see lands them in a world of shit. Little Devils is a dark comedy about the things that often go unnoticed by most of us.",,Sweden,N/A,N/A,N/A,N/A,6.3
tt0435150,The Lost Tape: Andy's Terrifying Last Days Revealed,2004,"Horror,Short",17,6.2,1112.0,,,,"During the film Dawn of the Dead, the survivors in the shopping mall communicate with a lone man named Andy, who is on the top of a building across the street. This is the footage from Andy's last days.",,USA,N/A,N/A,N/A,R,6.3
tt0435239,Obsesión de matar,1993,Horror,83,5.9,15.0,,,,,,Mexico,N/A,N/A,N/A,N/A,2.8
tt0435244,Old Breed,2001,"Horror,Short",13,6.4,13.0,,,,"Old Breed, uses Aesop's Fable, The Scorpion and The Turtle, a tale of one's true nature to illustrate the price of curiosity. Anyone who participates in Deirdre's search for her heredity will pay with their life.",,Canada,N/A,N/A,N/A,N/A,6.2
tt0435312,Rare Exports Inc.,2003,"Action,Comedy,Horror",8,7.8,2402.0,,,,An elite trio of expert hunters venture into the woods to track and capture an especially rare and dangerous prey for the Christmas season.,,Finland,N/A,N/A,N/A,N/A,7.8
tt0435314,Razorteeth,2005,Horror,75,2.3,250.0,,,,People full of problems...a lake full of piranha!,,USA,N/A,N/A,N/A,Not Rated,2.4
tt0435459,Todesvisionen - Geisterstunde,1989,Horror,93,6.2,42.0,,,,,,West Germany,N/A,N/A,N/A,N/A,4.1
tt0435514,Violencia a sangre fría,1989,"Horror,Thriller",85,0.0,0.0,,,,,,Mexico,N/A,N/A,N/A,N/A,N/A
tt0435528,Whisper,2007,"Crime,Drama,Horror",94,5.7,10133.0,,,,Sinister things begin happening to kidnappers who are holding a young boy for ransom in a remote cabin.,,"United States, Canada, United Kingdom",N/A,N/A,N/A,R,5.7
tt0435576,Point Pleasant,2005,"Crime,Drama,Horror",60,7.0,2543.0,,,,"A series of supernatural events begins in a small coastal New Jersey town after the arrival of a mysterious teenage girl, who apparently has the ability to influence the people and events around her.",,United States,N/A,N/A,N/A,TV-14,7.0
tt0435617,Chupacabra Terror,2005,Horror,89,3.5,1559.0,,,,"When cryptozoologist Dr. Peña traps the legendary Chupacabra on a remote Caribbean island, he smuggles it aboard a cruise ship with disastrous results.",,USA,N/A,N/A,N/A,R,3.4
tt0435625,The Descent,2005,"Adventure,Horror,Thriller",99,7.2,251748.0,"$26,024,456","$26,024,456",8 wins & 22 nominations,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",,United Kingdom,71,N/A,N/A,R,7.2
tt0435631,Demon Hunter,2005,Horror,78,4.3,1244.0,,,,"After resolving a situation of exorcism, the half-breed demon hunter Jake Greyman reports to Cardinal White and they realize that the demon Asmodeus is impregnating many mortals trying to raise offspring. Cardinal White calls Sist...",,United States,N/A,N/A,N/A,R,4.3
tt0435633,Dog Soldiers: Fresh Meat,\N,"Action,Horror",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt0435652,Gotta Make Them Angels,2004,"Horror,Short",24,7.4,19.0,,,,,,N/A,N/A,N/A,N/A,N/A,7.2
tt0435653,The Gravedancers,2006,Horror,95,5.4,10090.0,"$321,875","$321,875",,"After a night of drunken exploits, Allison, Harris, and Kira are chased and terrorized by the ghosts of a child pyromaniac, an ax murderer, and a rapist.",,United States,N/A,N/A,N/A,R,5.4
tt0435665,House of the Dead 2,2005,"Action,Comedy,Horror",95,3.7,6220.0,,,,"A virus breaks out at a university and people start to become zombies. After 29 days, a team of AMS scientists and soldiers are sent in to deal with the problem. But while they search, things go wrong.",,United States,N/A,N/A,N/A,R,3.7
tt0435668,The Inn,2004,"Horror,Mystery,Thriller",96,4.0,826.0,,,,"When a TV reporter sets out to uncover a small town's hidden secret, she unwittingly becomes embroiled in a story that began with the curse of a Louisiana doll-maker over 40 years earlier.",,United States,N/A,N/A,N/A,N/A,4.0
tt0435678,KatieBird *Certifiable Crazy Person,2005,Horror,100,4.2,263.0,,,,"What would happen if someone like Ed Gein or Ted Bundy were to have children and raise them to follow in their bloody footsteps? KateBird Wilkens, brought to life with unnerving depth and believability by horror veteran Helene (My...",,United States,N/A,N/A,N/A,N/A,4.2
tt0435687,The League of Gentlemen's Apocalypse,2005,"Comedy,Fantasy,Horror",91,6.1,5968.0,,,1 nomination,The notorious fictional town of Royston Vasey is under threat and its inhabitants are forced to leave.,,"United Kingdom, Ireland, United States",N/A,N/A,N/A,N/A,6.1
tt0435729,The Ruining,2004,Horror,90,3.5,165.0,,,,"The Troma Team is proud to present THE RUINING, a striking new work by filmmaker Chris Burgard. Filmed over ten years, The Ruining succeeds in echoing the grime and grit of late 70's and ...",,USA,N/A,N/A,N/A,R,3.8
tt0435770,The Visitation,2006,"Horror,Thriller",103,5.1,2812.0,,,,The Visitation reveals a small town torn apart by supernatural events involving a mysterious stranger and his unsolved past.,,United States,N/A,N/A,N/A,PG-13,5.1
tt0435779,Woods of Evil,2005,Horror,85,2.5,163.0,,,,"Needing fast cash, Ray and Dice kidnapped two rich girls for ransom. With the help of their ex-con friend Paco, they take the girls to a secluded cabin in the woods. The woods, however, are home to something more dangerous.",,USA,N/A,N/A,N/A,R,2.7
tt0435937,Afterlife,2005,"Drama,Horror,Mystery",\N,7.9,2267.0,,,4 wins & 1 nomination,University lecturer Robert Bridge becomes involved in a series of supernatural events surrounding medium Alison Mundy in this chilling TV series.,,United Kingdom,N/A,N/A,N/A,TV-14,7.9
tt0435997,True Horror with Anthony Head,2004,"Documentary,Horror",60,7.7,106.0,,,,"True Horror is a factual supernatural documentary series, made by October Films, for Discovery Europe. Topics will include vampires, demons, witches and exorcism, with Anthony Head interviewing the experts.",,United Kingdom,N/A,N/A,N/A,N/A,7.8
tt0436008,13:de mars 1941,2004,"Drama,Horror,Short",5,6.2,56.0,,,1 win,"The year is 1941. Two Investigators are doing research on an old well. One of the gentlemen climbs down the hole and then they communicate through a military phone. But something is strange, the place, the hole, and then the phone...",,Sweden,N/A,N/A,N/A,N/A,6.3
tt0436038,After Ate,2004,"Horror,Short",10,6.4,12.0,,,,"Everything is going swimmingly at one of the Rutherford's can't miss dinner soirees, until the dead rise and rudely crash the party...",,N/A,N/A,N/A,N/A,N/A,7.9
