tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt8451770,Stick Doll,2021,"Horror,Short",12,0.0,0.0,,,4 wins,A young woman is terrified when a haunting visitor from her childhood returns.,,United States,N/A,N/A,N/A,N/A,N/A
tt8451832,The Hag from Nowhere,2018,"Horror,Short",\N,0.0,0.0,,,,A man is chased down by someone dressed up as a Hag and a comedic chase ensues.,,United States,N/A,N/A,N/A,N/A,N/A
tt8451850,A Giant Without a Head!,2020,"Drama,Horror,Mystery",80,0.0,0.0,,,,A former model turned high couture fashion designer is left destroyed by the sudden death of a long time lover.,,"United States, Mexico",N/A,N/A,N/A,N/A,N/A
tt8451932,Little Match Girl,2018,"Drama,Horror,Short",19,7.7,114.0,,,3 wins,"Scandinavia, 1846. A poor young girl forced to sell matchsticks desperately lights one match to survive the winter night. She is drawn into a dream world where the flames of fire give her hope for a better life, while the cold cre...",,Sweden,N/A,N/A,N/A,N/A,7.9
tt8451984,The Driller Killer (1979),2018,"Comedy,Horror,Talk-Show",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt8452036,Demons,2018,"Comedy,Horror",84,5.1,76.0,,,2 nominations,A young actress struggles to come to terms with the price she has to pay for making art.,,Singapore,N/A,N/A,N/A,N/A,5.3
tt8452064,Best Performance,2018,"Horror,Mystery",56,0.0,0.0,,,,"After the death of her twin sister, Susan returns to her remote childhood home and is pulled into a theatrical nightmare designed by her fading actress mother, Barbara and obsessive filmmaker brother, Bill.",,USA,N/A,N/A,N/A,N/A,N/A
tt8452068,The Curse of the Internet Man,2018,"Drama,Fantasy,Horror",5,0.0,0.0,,,,"An online superstar influencer is deeply depressed after losing grip on reality. He seeks help from a psychiatrist, but is it too late?",,United Kingdom,N/A,N/A,N/A,N/A,N/A
tt8452288,Commander USA's Groovie Movies: King Soloman Mines,1989,"Adventure,Comedy,Horror",\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt8452834,Silent Road,2018,"Horror,Short,Thriller",\N,0.0,0.0,,,1 nomination,A couple is invited to spend a night at a cottage on a stormy evening. Things get strange as they learn about the family's past.,,United States,N/A,N/A,N/A,N/A,N/A
