tconst,primaryTitle,startYear,genres,runtimeMinutes,averageRating,numVotes,ProductionBudget,BoxOffice,Awards,PlotKeywords,ProductionStudio,Country,Metascore,tomatoRating,tomatoUserRating,Rated,Rating
tt10187270,The Rapping,2018,"Horror,Short",8,0.0,0.0,,,,"EA Poe homage to ""The Raven"" as an entity enters a house through the chimney finding a man reading a horror book. Strange sounds force him to find them. The soundtrack includes NASA InSight Mars Lander audio from Mars.",,United States,N/A,N/A,N/A,N/A,N/A
tt10187332,Blessed Are the Dead,\N,Horror,\N,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt1018756,Muromachi goten hyakkaiden,1914,"Horror,Short",\N,0.0,0.0,,,,,,Japan,N/A,N/A,N/A,N/A,N/A
tt10187710,The Mark,2020,"Horror,Short",15,0.0,0.0,,,2 wins & 3 nominations,"A young single mother struggles against ominous forces, whom she believes are bent on taking her infant daughter.",,United States,N/A,N/A,N/A,N/A,N/A
tt1018805,Vampira,1971,Horror,45,6.4,8.0,,,,"Two surveyors come under the spell of the beautiful Vampira. Vampira then celebrates occult magic rites with her new companions in her castle with the Alder Queen Belladonna, a sorceress, a hunchback, and a werewolf.",,West Germany,N/A,N/A,N/A,N/A,N/A
tt10188148,The Exorcist Nurse,2018,Horror,94,4.2,13.0,,,,"Toshie is a nurse at a hospital in a rural area. She meets Yukiko, who has gone to the hospital to see a doctor. Yukiko has just gotten married and has been breaking out in hives every time she has physical contact with her husband.",,Japan,N/A,N/A,N/A,Not Rated,N/A
tt10188152,5ive Must Die,2017,Horror,78,2.7,109.0,,,,"Five college students go urban spelunking 'the hobby of cave exploration' in an abandoned insane asylum, and one of them betrays the group for a malevolent ghost.",,USA,N/A,N/A,N/A,N/A,2.7
tt10188162,Bunnyman: Grindhouse Edition,2019,"Comedy,Horror",89,3.3,146.0,,,,"Bunnyman : Grindhouse Edition is a re-release of the original Bunnyman film. Originally released in 2011, ANOC productions re-released the ultimate version of the film on April 19th 2019. The ""NEW"" Director's Cut features never-be...",,United States,N/A,N/A,N/A,N/A,3.4
tt1018817,April Fool's Day,2008,"Crime,Horror,Mystery",91,3.7,4268.0,,,,"A year after an April Fool's Day prank which resulted in the death of one of their set, a group of friends find themselves targeted by someone who is out for revenge.",,USA,N/A,N/A,N/A,Unrated,3.7
tt1018820,Devil's Diary,2007,"Drama,Horror,Mystery",90,4.9,1540.0,,,2 nominations,"When two friends, Dominique and Ursula, uncover an ancient book in a graveyard one night, they discover that the book has the supernatural power to grant any evil desire written within it.",,Canada,N/A,N/A,N/A,Not Rated,4.9
tt10188220,Night Chase,\N,"Horror,Short",1,0.0,0.0,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
tt10188260,One Cut of the Dead Spin-Off: In Hollywood,2019,"Comedy,Horror",58,5.7,345.0,,,,"Six months passed since the horrible zombie attack. Chinatsu lost her voice after the incident and she now works as a waitress in Hollywood and is about to start a new life. However, real zombies arrive and terrorize the crew in H...",,Japan,N/A,N/A,N/A,N/A,5.7
